Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Yellow Fever Virus,vaccine_element_26,HLA-B*18,0.63,867.0,0.56
Yellow Fever Virus,vaccine_element_26,HLA-A*19,0.84,925.0,0.44
Yellow Fever Virus,vaccine_element_26,HLA-A*40,0.73,1033.0,0.47
Yellow Fever Virus,vaccine_element_26,HLA-B*33,0.63,1920.0,0.48
Yellow Fever Virus,vaccine_element_26,HLA-A*26,0.7,621.0,0.48
Yellow Fever Virus,vaccine_element_26,HLA-B*12,0.69,317.0,0.66
Yellow Fever Virus,vaccine_element_26,HLA-B*97,0.41,509.0,0.4
Yellow Fever Virus,vaccine_element_26,HLA-B*09,0.75,811.0,0.05
Yellow Fever Virus,vaccine_element_26,HLA-B*89,0.89,1546.0,0.28
Yellow Fever Virus,vaccine_element_26,HLA-A*45,0.72,1344.0,0.54
Yellow Fever Virus,vaccine_element_26,HLA-A*58,0.59,1604.0,0.12
Yellow Fever Virus,vaccine_element_26,HLA-A*81,0.57,1400.0,0.58
Yellow Fever Virus,vaccine_element_26,HLA-A*27,0.4,1984.0,0.19
Yellow Fever Virus,vaccine_element_26,HLA-B*50,0.68,1812.0,0.12
Yellow Fever Virus,vaccine_element_26,HLA-A*95,0.78,345.0,0.51
Yellow Fever Virus,vaccine_element_26,HLA-B*81,0.42,387.0,0.31
Yellow Fever Virus,vaccine_element_26,HLA-B*29,0.96,1039.0,0.59
Yellow Fever Virus,vaccine_element_26,HLA-B*51,0.49,818.0,0.04
Yellow Fever Virus,vaccine_element_26,HLA-A*44,0.51,1230.0,0.05
Yellow Fever Virus,vaccine_element_26,HLA-B*82,0.75,1563.0,0.23
Yellow Fever Virus,vaccine_element_26,HLA-B*72,0.35,1260.0,0.16
Yellow Fever Virus,vaccine_element_26,HLA-B*52,0.82,824.0,0.15
Yellow Fever Virus,vaccine_element_26,HLA-A*54,0.49,1975.0,0.48
Yellow Fever Virus,vaccine_element_26,HLA-B*60,0.69,1446.0,0.48
Yellow Fever Virus,vaccine_element_26,HLA-B*93,0.39,979.0,0.22
Yellow Fever Virus,vaccine_element_26,HLA-B*32,0.38,1208.0,0.49
Yellow Fever Virus,vaccine_element_26,HLA-A*12,0.47,1268.0,0.16
Yellow Fever Virus,vaccine_element_26,HLA-B*54,0.46,376.0,0.24
Yellow Fever Virus,vaccine_element_27,HLA-B*40,0.54,1919.0,0.31
Yellow Fever Virus,vaccine_element_27,HLA-B*49,0.52,520.0,0.49
Yellow Fever Virus,vaccine_element_27,HLA-B*18,0.38,1621.0,0.12
Yellow Fever Virus,vaccine_element_27,HLA-A*19,0.4,781.0,0.49
Yellow Fever Virus,vaccine_element_27,HLA-A*40,0.64,1784.0,0.6
Yellow Fever Virus,vaccine_element_27,HLA-B*33,0.95,1941.0,0.46
Yellow Fever Virus,vaccine_element_27,HLA-A*26,0.85,548.0,0.63
Yellow Fever Virus,vaccine_element_27,HLA-B*12,0.71,1783.0,0.57
Yellow Fever Virus,vaccine_element_27,HLA-B*97,0.7,668.0,0.36
Yellow Fever Virus,vaccine_element_27,HLA-B*09,0.46,1484.0,0.15
Yellow Fever Virus,vaccine_element_27,HLA-B*89,0.59,1054.0,0.06
Yellow Fever Virus,vaccine_element_27,HLA-A*45,0.9,1715.0,0.15
Yellow Fever Virus,vaccine_element_27,HLA-A*58,0.91,917.0,0.1
Yellow Fever Virus,vaccine_element_27,HLA-A*81,0.58,371.0,0.54
Yellow Fever Virus,vaccine_element_27,HLA-A*27,0.49,590.0,0.36
Yellow Fever Virus,vaccine_element_27,HLA-B*50,0.92,1290.0,0.16
Yellow Fever Virus,vaccine_element_27,HLA-A*95,0.47,1460.0,0.47
Yellow Fever Virus,vaccine_element_27,HLA-B*81,0.75,1221.0,0.65
Yellow Fever Virus,vaccine_element_27,HLA-B*29,0.46,1184.0,0.48
Yellow Fever Virus,vaccine_element_27,HLA-B*51,0.75,1152.0,0.14
Yellow Fever Virus,vaccine_element_27,HLA-A*44,0.91,894.0,0.47
Yellow Fever Virus,vaccine_element_27,HLA-B*82,0.74,977.0,0.06
Yellow Fever Virus,vaccine_element_27,HLA-B*72,0.57,499.0,0.52
Yellow Fever Virus,vaccine_element_27,HLA-B*52,0.95,341.0,0.66
Yellow Fever Virus,vaccine_element_27,HLA-A*54,0.65,1191.0,0.45
Yellow Fever Virus,vaccine_element_27,HLA-B*60,0.63,930.0,0.43
Yellow Fever Virus,vaccine_element_27,HLA-B*93,0.39,306.0,0.15
Yellow Fever Virus,vaccine_element_27,HLA-B*32,0.33,1438.0,0.33
Yellow Fever Virus,vaccine_element_27,HLA-A*12,0.98,1704.0,0.38
Yellow Fever Virus,vaccine_element_27,HLA-B*54,0.69,1927.0,0.12
Yellow Fever Virus,vaccine_element_28,HLA-B*40,0.58,1853.0,0.04
Yellow Fever Virus,vaccine_element_28,HLA-B*49,0.37,1716.0,0.56
Yellow Fever Virus,vaccine_element_28,HLA-B*18,0.53,1745.0,0.05
Yellow Fever Virus,vaccine_element_28,HLA-A*19,0.66,862.0,0.29
Yellow Fever Virus,vaccine_element_28,HLA-A*40,0.86,716.0,0.57
Yellow Fever Virus,vaccine_element_28,HLA-B*33,0.99,877.0,0.14
Yellow Fever Virus,vaccine_element_28,HLA-A*26,0.89,591.0,0.09
Yellow Fever Virus,vaccine_element_28,HLA-B*12,0.82,1217.0,0.58
Yellow Fever Virus,vaccine_element_28,HLA-B*97,0.96,303.0,0.25
Yellow Fever Virus,vaccine_element_28,HLA-B*09,0.92,1121.0,0.55
Yellow Fever Virus,vaccine_element_28,HLA-B*89,0.81,518.0,0.46
Yellow Fever Virus,vaccine_element_28,HLA-A*45,0.7,781.0,0.52
Yellow Fever Virus,vaccine_element_28,HLA-A*58,0.85,1786.0,0.62
Yellow Fever Virus,vaccine_element_28,HLA-A*81,0.33,1801.0,0.44
Yellow Fever Virus,vaccine_element_28,HLA-A*27,0.92,595.0,0.54
Yellow Fever Virus,vaccine_element_28,HLA-B*50,0.33,725.0,0.49
Yellow Fever Virus,vaccine_element_28,HLA-A*95,0.73,808.0,0.66
Yellow Fever Virus,vaccine_element_28,HLA-B*81,0.75,1714.0,0.21
Yellow Fever Virus,vaccine_element_28,HLA-B*29,0.8,874.0,0.46
Yellow Fever Virus,vaccine_element_28,HLA-B*51,0.96,1717.0,0.63
Yellow Fever Virus,vaccine_element_28,HLA-A*44,0.78,1093.0,0.43
Yellow Fever Virus,vaccine_element_28,HLA-B*82,0.62,802.0,0.17
Yellow Fever Virus,vaccine_element_28,HLA-B*72,0.7,807.0,0.21
Yellow Fever Virus,vaccine_element_28,HLA-B*52,0.87,444.0,0.53
Yellow Fever Virus,vaccine_element_28,HLA-A*54,0.91,1884.0,0.13
Yellow Fever Virus,vaccine_element_28,HLA-B*60,0.72,1351.0,0.43
Yellow Fever Virus,vaccine_element_28,HLA-B*93,0.86,1986.0,0.63
Yellow Fever Virus,vaccine_element_28,HLA-B*32,0.54,575.0,0.22
Yellow Fever Virus,vaccine_element_28,HLA-A*12,0.54,1744.0,0.4
Yellow Fever Virus,vaccine_element_28,HLA-B*54,0.95,1325.0,0.13
Yellow Fever Virus,vaccine_element_29,HLA-B*40,0.96,920.0,0.62
Yellow Fever Virus,vaccine_element_29,HLA-B*49,0.58,884.0,0.16
Yellow Fever Virus,vaccine_element_29,HLA-B*18,0.6,1257.0,0.16
Yellow Fever Virus,vaccine_element_29,HLA-A*19,0.44,437.0,0.2
Yellow Fever Virus,vaccine_element_29,HLA-A*40,0.61,1470.0,0.14
Yellow Fever Virus,vaccine_element_29,HLA-B*33,0.81,1430.0,0.44
Yellow Fever Virus,vaccine_element_29,HLA-A*26,0.55,953.0,0.23
Yellow Fever Virus,vaccine_element_29,HLA-B*12,0.54,1283.0,0.44
Yellow Fever Virus,vaccine_element_29,HLA-B*97,0.76,643.0,0.42
Yellow Fever Virus,vaccine_element_29,HLA-B*09,0.58,809.0,0.27
Yellow Fever Virus,vaccine_element_29,HLA-B*89,0.78,1606.0,0.26
Yellow Fever Virus,vaccine_element_29,HLA-A*45,0.92,1911.0,0.05
Yellow Fever Virus,vaccine_element_29,HLA-A*58,0.62,1149.0,0.05
Yellow Fever Virus,vaccine_element_29,HLA-A*81,0.61,397.0,0.48
Yellow Fever Virus,vaccine_element_29,HLA-A*27,0.88,402.0,0.61
Yellow Fever Virus,vaccine_element_29,HLA-B*50,0.44,1938.0,0.16
Yellow Fever Virus,vaccine_element_29,HLA-A*95,0.99,318.0,0.2
Yellow Fever Virus,vaccine_element_29,HLA-B*81,0.63,1503.0,0.56
Yellow Fever Virus,vaccine_element_29,HLA-B*29,0.81,610.0,0.16
Yellow Fever Virus,vaccine_element_29,HLA-B*51,0.58,1923.0,0.32
Yellow Fever Virus,vaccine_element_29,HLA-A*44,0.4,1403.0,0.48
Yellow Fever Virus,vaccine_element_29,HLA-B*82,0.48,829.0,0.17
Yellow Fever Virus,vaccine_element_29,HLA-B*72,0.85,515.0,0.32
Yellow Fever Virus,vaccine_element_29,HLA-B*52,0.35,1531.0,0.31
Yellow Fever Virus,vaccine_element_29,HLA-A*54,0.58,1835.0,0.28
Yellow Fever Virus,vaccine_element_29,HLA-B*60,0.85,302.0,0.43
Yellow Fever Virus,vaccine_element_29,HLA-B*93,0.56,1398.0,0.61
Yellow Fever Virus,vaccine_element_29,HLA-B*32,0.46,1710.0,0.31
Yellow Fever Virus,vaccine_element_29,HLA-A*12,0.51,724.0,0.25
Yellow Fever Virus,vaccine_element_29,HLA-B*54,0.89,943.0,0.18
Yellow Fever Virus,vaccine_element_30,HLA-B*40,0.54,888.0,0.2
Yellow Fever Virus,vaccine_element_30,HLA-B*49,0.79,1447.0,0.5
Yellow Fever Virus,vaccine_element_30,HLA-B*18,0.63,1434.0,0.16
Yellow Fever Virus,vaccine_element_30,HLA-A*19,0.38,455.0,0.56
Yellow Fever Virus,vaccine_element_30,HLA-A*40,0.91,731.0,0.35
Yellow Fever Virus,vaccine_element_30,HLA-B*33,0.65,983.0,0.08
Yellow Fever Virus,vaccine_element_30,HLA-A*26,0.38,735.0,0.53
Yellow Fever Virus,vaccine_element_30,HLA-B*12,0.44,1489.0,0.38
Yellow Fever Virus,vaccine_element_30,HLA-B*97,0.64,1491.0,0.37
Yellow Fever Virus,vaccine_element_30,HLA-B*09,0.42,511.0,0.16
Yellow Fever Virus,vaccine_element_30,HLA-B*89,0.41,1861.0,0.66
Yellow Fever Virus,vaccine_element_30,HLA-A*45,0.8,434.0,0.64
Yellow Fever Virus,vaccine_element_30,HLA-A*58,0.97,1253.0,0.32
Yellow Fever Virus,vaccine_element_30,HLA-A*81,0.68,538.0,0.12
Yellow Fever Virus,vaccine_element_30,HLA-A*27,0.87,490.0,0.58
Yellow Fever Virus,vaccine_element_30,HLA-B*50,0.49,311.0,0.52
Yellow Fever Virus,vaccine_element_30,HLA-A*95,0.73,1171.0,0.38
Yellow Fever Virus,vaccine_element_30,HLA-B*81,0.81,1227.0,0.31
Yellow Fever Virus,vaccine_element_30,HLA-B*29,0.38,1607.0,0.17
Yellow Fever Virus,vaccine_element_30,HLA-B*51,0.91,891.0,0.52
Yellow Fever Virus,vaccine_element_30,HLA-A*44,0.72,759.0,0.11
Yellow Fever Virus,vaccine_element_30,HLA-B*82,0.91,602.0,0.28
Yellow Fever Virus,vaccine_element_30,HLA-B*72,0.82,1167.0,0.49
Yellow Fever Virus,vaccine_element_30,HLA-B*52,0.89,860.0,0.62
Yellow Fever Virus,vaccine_element_30,HLA-A*54,0.63,727.0,0.38
Yellow Fever Virus,vaccine_element_30,HLA-B*60,0.38,1416.0,0.61
Yellow Fever Virus,vaccine_element_30,HLA-B*93,0.41,1191.0,0.35
Yellow Fever Virus,vaccine_element_30,HLA-B*32,0.86,417.0,0.36
Yellow Fever Virus,vaccine_element_30,HLA-A*12,0.51,1465.0,0.49
Yellow Fever Virus,vaccine_element_30,HLA-B*54,0.48,810.0,0.32
Yellow Fever Virus,vaccine_element_31,HLA-B*40,0.34,404.0,0.59
Yellow Fever Virus,vaccine_element_31,HLA-B*49,0.7,931.0,0.27
Yellow Fever Virus,vaccine_element_31,HLA-B*18,0.92,705.0,0.05
Yellow Fever Virus,vaccine_element_31,HLA-A*19,0.9,1951.0,0.04
Yellow Fever Virus,vaccine_element_31,HLA-A*40,0.89,1484.0,0.43
Yellow Fever Virus,vaccine_element_31,HLA-B*33,0.87,529.0,0.25
Yellow Fever Virus,vaccine_element_31,HLA-A*26,0.33,1835.0,0.49
Yellow Fever Virus,vaccine_element_31,HLA-B*12,0.4,909.0,0.45
Yellow Fever Virus,vaccine_element_31,HLA-B*97,0.58,827.0,0.61
Yellow Fever Virus,vaccine_element_31,HLA-B*09,0.91,1491.0,0.05
Yellow Fever Virus,vaccine_element_31,HLA-B*89,0.69,1920.0,0.59
Yellow Fever Virus,vaccine_element_31,HLA-A*45,0.36,864.0,0.27
Yellow Fever Virus,vaccine_element_31,HLA-A*58,0.99,1459.0,0.31
Yellow Fever Virus,vaccine_element_31,HLA-A*81,0.98,1313.0,0.09
Yellow Fever Virus,vaccine_element_31,HLA-A*27,0.57,858.0,0.33
Yellow Fever Virus,vaccine_element_31,HLA-B*50,0.35,1879.0,0.04
Yellow Fever Virus,vaccine_element_31,HLA-A*95,0.99,1791.0,0.34
Yellow Fever Virus,vaccine_element_31,HLA-B*81,0.42,1298.0,0.07
Yellow Fever Virus,vaccine_element_31,HLA-B*29,0.32,952.0,0.43
Yellow Fever Virus,vaccine_element_31,HLA-B*51,0.84,1479.0,0.47
Yellow Fever Virus,vaccine_element_31,HLA-A*44,0.37,561.0,0.33
Yellow Fever Virus,vaccine_element_31,HLA-B*82,0.58,1050.0,0.58
Yellow Fever Virus,vaccine_element_31,HLA-B*72,0.53,1030.0,0.39
Yellow Fever Virus,vaccine_element_31,HLA-B*52,0.69,807.0,0.28
Yellow Fever Virus,vaccine_element_31,HLA-A*54,0.65,1456.0,0.29
Yellow Fever Virus,vaccine_element_31,HLA-B*60,0.57,1771.0,0.41
Yellow Fever Virus,vaccine_element_31,HLA-B*93,0.98,1907.0,0.55
Yellow Fever Virus,vaccine_element_31,HLA-B*32,0.56,748.0,0.22
Yellow Fever Virus,vaccine_element_31,HLA-A*12,0.75,1521.0,0.43
Yellow Fever Virus,vaccine_element_31,HLA-B*54,0.34,1781.0,0.31
Yellow Fever Virus,vaccine_element_32,HLA-B*40,0.82,1255.0,0.66
Yellow Fever Virus,vaccine_element_32,HLA-B*49,0.55,1964.0,0.37
Yellow Fever Virus,vaccine_element_32,HLA-B*18,0.39,1036.0,0.33
Yellow Fever Virus,vaccine_element_32,HLA-A*19,0.45,904.0,0.6
Yellow Fever Virus,vaccine_element_32,HLA-A*40,0.59,401.0,0.27
Yellow Fever Virus,vaccine_element_32,HLA-B*33,0.43,1660.0,0.32
Yellow Fever Virus,vaccine_element_32,HLA-A*26,0.43,1992.0,0.06
Yellow Fever Virus,vaccine_element_32,HLA-B*12,0.8,663.0,0.57
Yellow Fever Virus,vaccine_element_32,HLA-B*97,0.45,441.0,0.61
Yellow Fever Virus,vaccine_element_32,HLA-B*09,0.44,1026.0,0.59
Yellow Fever Virus,vaccine_element_32,HLA-B*89,0.81,1710.0,0.46
Yellow Fever Virus,vaccine_element_32,HLA-A*45,0.65,1883.0,0.38
Yellow Fever Virus,vaccine_element_32,HLA-A*58,0.54,1440.0,0.61
Yellow Fever Virus,vaccine_element_32,HLA-A*81,0.37,1226.0,0.37
Yellow Fever Virus,vaccine_element_32,HLA-A*27,0.46,1494.0,0.35
Yellow Fever Virus,vaccine_element_32,HLA-B*50,0.47,1825.0,0.19
Yellow Fever Virus,vaccine_element_32,HLA-A*95,0.43,1055.0,0.47
Yellow Fever Virus,vaccine_element_32,HLA-B*81,0.8,987.0,0.56
Yellow Fever Virus,vaccine_element_32,HLA-B*29,0.65,465.0,0.6
Yellow Fever Virus,vaccine_element_32,HLA-B*51,0.53,835.0,0.13
Yellow Fever Virus,vaccine_element_32,HLA-A*44,0.81,1064.0,0.56
Yellow Fever Virus,vaccine_element_32,HLA-B*82,0.41,1999.0,0.36
Yellow Fever Virus,vaccine_element_32,HLA-B*72,0.49,849.0,0.29
Yellow Fever Virus,vaccine_element_32,HLA-B*52,0.95,961.0,0.19
Yellow Fever Virus,vaccine_element_32,HLA-A*54,0.83,734.0,0.5
Yellow Fever Virus,vaccine_element_32,HLA-B*60,0.35,1113.0,0.6
Yellow Fever Virus,vaccine_element_32,HLA-B*93,0.96,1540.0,0.3
Yellow Fever Virus,vaccine_element_32,HLA-B*32,0.37,1594.0,0.66
Yellow Fever Virus,vaccine_element_32,HLA-A*12,0.55,1666.0,0.24
Yellow Fever Virus,vaccine_element_32,HLA-B*54,0.34,464.0,0.55
Yellow Fever Virus,vaccine_element_33,HLA-B*40,0.79,1538.0,0.15
Yellow Fever Virus,vaccine_element_33,HLA-B*49,0.88,1944.0,0.27
Yellow Fever Virus,vaccine_element_33,HLA-B*18,0.74,1791.0,0.49
Yellow Fever Virus,vaccine_element_33,HLA-A*19,0.56,1148.0,0.47
Yellow Fever Virus,vaccine_element_33,HLA-A*40,0.83,743.0,0.62
Yellow Fever Virus,vaccine_element_33,HLA-B*33,0.48,637.0,0.29
Yellow Fever Virus,vaccine_element_33,HLA-A*26,0.53,1776.0,0.39
Yellow Fever Virus,vaccine_element_33,HLA-B*12,0.54,311.0,0.22
Yellow Fever Virus,vaccine_element_33,HLA-B*97,0.82,1356.0,0.57
Yellow Fever Virus,vaccine_element_33,HLA-B*09,0.51,832.0,0.16
Yellow Fever Virus,vaccine_element_33,HLA-B*89,0.62,1948.0,0.45
Yellow Fever Virus,vaccine_element_33,HLA-A*45,0.75,1797.0,0.67
Yellow Fever Virus,vaccine_element_33,HLA-A*58,0.66,603.0,0.23
Yellow Fever Virus,vaccine_element_33,HLA-A*81,0.53,1811.0,0.52
Yellow Fever Virus,vaccine_element_33,HLA-A*27,0.76,796.0,0.56
Yellow Fever Virus,vaccine_element_33,HLA-B*50,0.79,1946.0,0.6
Yellow Fever Virus,vaccine_element_33,HLA-A*95,0.94,815.0,0.28
Yellow Fever Virus,vaccine_element_33,HLA-B*81,0.88,867.0,0.13
Yellow Fever Virus,vaccine_element_33,HLA-B*29,0.36,848.0,0.34
Yellow Fever Virus,vaccine_element_33,HLA-B*51,0.75,770.0,0.2
Yellow Fever Virus,vaccine_element_33,HLA-A*44,0.67,1226.0,0.11
Yellow Fever Virus,vaccine_element_33,HLA-B*82,0.55,798.0,0.66
Yellow Fever Virus,vaccine_element_33,HLA-B*72,0.64,774.0,0.23
Yellow Fever Virus,vaccine_element_33,HLA-B*52,0.99,1063.0,0.48
Yellow Fever Virus,vaccine_element_33,HLA-A*54,0.53,300.0,0.64
Yellow Fever Virus,vaccine_element_33,HLA-B*60,0.44,685.0,0.34
Yellow Fever Virus,vaccine_element_33,HLA-B*93,0.82,441.0,0.64
Yellow Fever Virus,vaccine_element_33,HLA-B*32,0.87,675.0,0.48
Yellow Fever Virus,vaccine_element_33,HLA-A*12,0.8,1193.0,0.28
Yellow Fever Virus,vaccine_element_33,HLA-B*54,0.69,820.0,0.63
Yellow Fever Virus,vaccine_element_34,HLA-B*40,0.78,1843.0,0.64
Yellow Fever Virus,vaccine_element_34,HLA-B*49,0.34,1318.0,0.35
Yellow Fever Virus,vaccine_element_34,HLA-B*18,0.6,817.0,0.3
Yellow Fever Virus,vaccine_element_34,HLA-A*19,0.39,342.0,0.11
Yellow Fever Virus,vaccine_element_34,HLA-A*40,0.66,1257.0,0.55
Yellow Fever Virus,vaccine_element_34,HLA-B*33,0.92,1307.0,0.27
Yellow Fever Virus,vaccine_element_34,HLA-A*26,0.6,1133.0,0.64
Yellow Fever Virus,vaccine_element_34,HLA-B*12,0.85,1820.0,0.55
Yellow Fever Virus,vaccine_element_34,HLA-B*97,0.48,671.0,0.51
Yellow Fever Virus,vaccine_element_34,HLA-B*09,0.88,356.0,0.53
Yellow Fever Virus,vaccine_element_34,HLA-B*89,0.89,1374.0,0.44
Yellow Fever Virus,vaccine_element_34,HLA-A*45,0.86,1640.0,0.34
Yellow Fever Virus,vaccine_element_34,HLA-A*58,0.88,1064.0,0.06
Yellow Fever Virus,vaccine_element_34,HLA-A*81,0.5,311.0,0.42
Yellow Fever Virus,vaccine_element_34,HLA-A*27,0.46,1820.0,0.63
Yellow Fever Virus,vaccine_element_34,HLA-B*50,0.83,1329.0,0.38
Yellow Fever Virus,vaccine_element_34,HLA-A*95,0.33,1555.0,0.04
Yellow Fever Virus,vaccine_element_34,HLA-B*81,0.35,716.0,0.14
Yellow Fever Virus,vaccine_element_34,HLA-B*29,0.35,1498.0,0.41
Yellow Fever Virus,vaccine_element_34,HLA-B*51,0.65,1818.0,0.37
Yellow Fever Virus,vaccine_element_34,HLA-A*44,0.46,1954.0,0.41
Yellow Fever Virus,vaccine_element_34,HLA-B*82,0.5,1657.0,0.59
Yellow Fever Virus,vaccine_element_34,HLA-B*72,0.85,1153.0,0.56
Yellow Fever Virus,vaccine_element_34,HLA-B*52,0.36,630.0,0.44
Yellow Fever Virus,vaccine_element_34,HLA-A*54,0.43,1445.0,0.12
Yellow Fever Virus,vaccine_element_34,HLA-B*60,0.59,709.0,0.6
Yellow Fever Virus,vaccine_element_34,HLA-B*93,0.89,954.0,0.09
Yellow Fever Virus,vaccine_element_34,HLA-B*32,0.82,872.0,0.33
Yellow Fever Virus,vaccine_element_34,HLA-A*12,1.0,306.0,0.15
Yellow Fever Virus,vaccine_element_34,HLA-B*54,0.34,1675.0,0.29
Yellow Fever Virus,vaccine_element_35,HLA-B*40,0.75,1049.0,0.18
Yellow Fever Virus,vaccine_element_35,HLA-B*49,0.72,725.0,0.43
Yellow Fever Virus,vaccine_element_35,HLA-B*18,0.34,1483.0,0.28
Yellow Fever Virus,vaccine_element_35,HLA-A*19,0.62,1174.0,0.31
Yellow Fever Virus,vaccine_element_35,HLA-A*40,0.74,903.0,0.1
Yellow Fever Virus,vaccine_element_35,HLA-B*33,0.66,1400.0,0.58
Yellow Fever Virus,vaccine_element_35,HLA-A*26,0.36,614.0,0.16
Yellow Fever Virus,vaccine_element_35,HLA-B*12,0.56,1921.0,0.55
Yellow Fever Virus,vaccine_element_35,HLA-B*97,0.48,1023.0,0.47
Yellow Fever Virus,vaccine_element_35,HLA-B*09,0.47,671.0,0.22
Yellow Fever Virus,vaccine_element_35,HLA-B*89,0.95,1848.0,0.46
Yellow Fever Virus,vaccine_element_35,HLA-A*45,0.57,1306.0,0.6
Yellow Fever Virus,vaccine_element_35,HLA-A*58,0.92,1405.0,0.3
Yellow Fever Virus,vaccine_element_35,HLA-A*81,0.49,952.0,0.38
Yellow Fever Virus,vaccine_element_35,HLA-A*27,0.9,1958.0,0.33
Yellow Fever Virus,vaccine_element_35,HLA-B*50,0.58,320.0,0.09
Yellow Fever Virus,vaccine_element_35,HLA-A*95,0.6,474.0,0.23
Yellow Fever Virus,vaccine_element_35,HLA-B*81,0.65,1015.0,0.54
Yellow Fever Virus,vaccine_element_35,HLA-B*29,0.95,604.0,0.25
Yellow Fever Virus,vaccine_element_35,HLA-B*51,0.83,1121.0,0.49
Yellow Fever Virus,vaccine_element_35,HLA-A*44,0.94,1179.0,0.47
Yellow Fever Virus,vaccine_element_35,HLA-B*82,0.71,1586.0,0.06
Yellow Fever Virus,vaccine_element_35,HLA-B*72,0.95,802.0,0.22
Yellow Fever Virus,vaccine_element_35,HLA-B*52,0.48,1099.0,0.34
Yellow Fever Virus,vaccine_element_35,HLA-A*54,0.87,1482.0,0.34
Yellow Fever Virus,vaccine_element_35,HLA-B*60,0.81,966.0,0.08
Yellow Fever Virus,vaccine_element_35,HLA-B*93,0.58,1497.0,0.47
Yellow Fever Virus,vaccine_element_35,HLA-B*32,0.59,1376.0,0.09
Yellow Fever Virus,vaccine_element_35,HLA-A*12,0.65,1151.0,0.46
Yellow Fever Virus,vaccine_element_35,HLA-B*54,0.8,1473.0,0.25
Yellow Fever Virus,vaccine_element_36,HLA-B*40,0.56,1103.0,0.11
Yellow Fever Virus,vaccine_element_36,HLA-B*49,0.59,679.0,0.39
Yellow Fever Virus,vaccine_element_36,HLA-B*18,0.36,420.0,0.64
Yellow Fever Virus,vaccine_element_36,HLA-A*19,0.77,849.0,0.55
Yellow Fever Virus,vaccine_element_36,HLA-A*40,0.69,1376.0,0.15
Yellow Fever Virus,vaccine_element_36,HLA-B*33,0.8,1145.0,0.37
Yellow Fever Virus,vaccine_element_36,HLA-A*26,0.53,1996.0,0.09
Yellow Fever Virus,vaccine_element_36,HLA-B*12,0.84,1448.0,0.22
Yellow Fever Virus,vaccine_element_36,HLA-B*97,0.76,1177.0,0.54
Yellow Fever Virus,vaccine_element_36,HLA-B*09,0.39,1711.0,0.14
Yellow Fever Virus,vaccine_element_36,HLA-B*89,0.88,823.0,0.05
Yellow Fever Virus,vaccine_element_36,HLA-A*45,0.49,1247.0,0.29
Yellow Fever Virus,vaccine_element_36,HLA-A*58,0.78,1134.0,0.1
Yellow Fever Virus,vaccine_element_36,HLA-A*81,0.86,1635.0,0.51
Yellow Fever Virus,vaccine_element_36,HLA-A*27,0.5,1633.0,0.13
Yellow Fever Virus,vaccine_element_36,HLA-B*50,0.41,944.0,0.23
Yellow Fever Virus,vaccine_element_36,HLA-A*95,0.43,1227.0,0.47
Yellow Fever Virus,vaccine_element_36,HLA-B*81,0.71,895.0,0.66
Yellow Fever Virus,vaccine_element_36,HLA-B*29,0.33,1127.0,0.24
Yellow Fever Virus,vaccine_element_36,HLA-B*51,0.99,1138.0,0.13
Yellow Fever Virus,vaccine_element_36,HLA-A*44,0.39,562.0,0.34
Yellow Fever Virus,vaccine_element_36,HLA-B*82,0.62,1415.0,0.32
Yellow Fever Virus,vaccine_element_36,HLA-B*72,0.6,370.0,0.39
Yellow Fever Virus,vaccine_element_36,HLA-B*52,0.43,1608.0,0.31
Yellow Fever Virus,vaccine_element_36,HLA-A*54,0.96,1974.0,0.16
Yellow Fever Virus,vaccine_element_36,HLA-B*60,0.96,1323.0,0.47
Yellow Fever Virus,vaccine_element_36,HLA-B*93,0.95,1372.0,0.43
Yellow Fever Virus,vaccine_element_36,HLA-B*32,0.77,1386.0,0.19
Yellow Fever Virus,vaccine_element_36,HLA-A*12,0.94,635.0,0.24
Yellow Fever Virus,vaccine_element_36,HLA-B*54,0.89,1408.0,0.27
Yellow Fever Virus,vaccine_element_37,HLA-B*40,0.74,1739.0,0.51
Yellow Fever Virus,vaccine_element_37,HLA-B*49,0.57,1889.0,0.5
Yellow Fever Virus,vaccine_element_37,HLA-B*18,0.53,1579.0,0.39
Yellow Fever Virus,vaccine_element_37,HLA-A*19,0.76,1622.0,0.22
Yellow Fever Virus,vaccine_element_37,HLA-A*40,0.76,1181.0,0.47
Yellow Fever Virus,vaccine_element_37,HLA-B*33,0.62,469.0,0.09
Yellow Fever Virus,vaccine_element_37,HLA-A*26,0.38,1625.0,0.62
Yellow Fever Virus,vaccine_element_37,HLA-B*12,0.45,1739.0,0.07
Yellow Fever Virus,vaccine_element_37,HLA-B*97,0.52,612.0,0.45
Yellow Fever Virus,vaccine_element_37,HLA-B*09,0.65,1870.0,0.21
Yellow Fever Virus,vaccine_element_37,HLA-B*89,0.51,729.0,0.32
Yellow Fever Virus,vaccine_element_37,HLA-A*45,0.8,1233.0,0.49
Yellow Fever Virus,vaccine_element_37,HLA-A*58,0.36,1393.0,0.62
Yellow Fever Virus,vaccine_element_37,HLA-A*81,0.95,1166.0,0.38
Yellow Fever Virus,vaccine_element_37,HLA-A*27,0.8,1696.0,0.41
Yellow Fever Virus,vaccine_element_37,HLA-B*50,0.78,1354.0,0.53
